RacerID,Course,RacesRun,QuinellaRate,TrifectaRate,FirstPlaceRate,AvgStartTiming,Nige,Makuri,Sashi
2907,4,561,14.6,33.3,3.7,0.21,0,7,3
2907,5,482,15.1,30.2,3.5,0.21,0,4,4
2907,6,420,7.1,19.7,1.4,0.23,0,1,1
2910,1,725,54.4,68.1,33.6,0.19,214,0,1
2910,2,884,45.1,62.9,20.7,0.2,0,76,90
2910,3,966,35.3,53.2,18.0,0.2,0,90,42
2910,4,926,35.6,55.1,18.6,0.19,0,84,35
2910,5,921,24.7,42.7,9.2,0.19,0,29,13
2910,6,591,15.4,33.5,5.2,0.2,0,8,8
2912,1,980,58.9,70.9,38.7,0.2,351,0,0
2912,2,1238,41.5,58.6,16.4,0.19,0,83,90
2912,3,1221,35.9,54.9,15.0,0.19,0,96,35
2912,4,1030,30.9,49.0,11.8,0.2,0,60,8
2912,5,845,22.7,39.7,8.4,0.2,0,18,14
2912,6,540,11.6,24.6,2.9,0.2,0,3,4
2914,1,997,66.5,77.5,41.0,0.16,368,0,0
2914,2,960,47.8,65.6,23.6,0.17,1,97,103
2914,3,920,43.7,61.4,20.8,0.16,0,90,39
2914,4,790,35.8,57.2,15.1,0.17,0,49,19
2914,5,609,25.9,45.6,10.0,0.18,0,7,5
2914,6,289,14.5,31.4,3.4,0.2,0,2,1
2930,1,1474,67.5,79.8,45.9,0.17,605,0,1
2930,2,1214,45.3,63.6,21.0,0.19,0,75,149
2930,3,1165,36.8,55.7,17.1,0.19,0,61,41
2930,4,801,27.3,48.1,10.6,0.21,0,29,15
2930,5,422,15.6,35.0,4.0,0.2,0,4,1
2930,6,199,13.0,29.6,1.0,0.23,0,0,0
2935,1,710,36.2,50.0,17.4,0.22,115,0,0
2935,2,810,25.1,43.4,9.2,0.2,0,37,26
2935,3,735,19.3,36.4,7.3,0.19,0,31,9
2935,4,780,21.9,35.9,10.5,0.19,0,47,14
2935,5,853,15.3,31.1,5.6,0.19,0,25,3
2935,6,601,6.1,19.8,1.1,0.23,0,1,2
2941,1,498,34.3,53.6,14.6,0.22,61,0,0
2941,2,558,23.8,46.7,8.7,0.22,0,12,27
2941,3,641,25.7,47.2,11.3,0.22,0,27,25
2941,4,700,30.8,49.4,14.4,0.2,0,49,11
2941,5,1050,25.8,43.0,9.7,0.19,0,32,15
2941,6,1146,17.0,37.7,4.5,0.19,0,18,7
2942,1,1103,70.7,81.1,46.9,0.13,464,0,0
2942,2,931,54.7,69.7,27.0,0.13,0,104,116
2942,3,989,44.3,62.2,23.3,0.12,0,122,42
2942,4,920,45.6,59.6,25.1,0.14,0,134,33
2942,5,689,32.8,48.4,16.4,0.13,0,52,13
2942,6,530,20.0,39.0,7.1,0.13,0,20,3
2958,1,940,61.0,74.3,41.4,0.18,366,0,1
2958,2,1258,45.1,65.2,20.6,0.19,0,59,171
2958,3,1152,30.9,51.8,14.0,0.19,0,46,52
2958,4,893,31.9,49.0,14.1,0.19,0,41,31
2958,5,624,22.1,41.8,7.8,0.2,0,6,15
2958,6,353,9.9,27.7,1.9,0.21,0,0,0
2969,1,602,41.0,55.9,21.7,0.22,113,0,1
2969,2,650,33.6,52.3,14.4,0.23,0,9,70
2969,3,653,25.5,42.5,11.6,0.22,0,17,27
2969,4,597,25.1,41.5,10.7,0.21,0,27,11
2969,5,613,20.3,34.7,8.4,0.22,0,15,10
2969,6,580,11.5,23.4,2.7,0.24,0,3,1
2974,1,874,66.9,77.0,46.1,0.16,370,0,0
2974,2,856,46.7,62.0,22.2,0.17,0,63,102
2974,3,866,41.6,59.1,22.7,0.17,0,91,37
2974,4,871,37.0,53.6,19.6,0.17,0,79,33
2974,5,612,22.5,38.7,9.8,0.18,0,23,11
2974,6,327,11.0,22.3,2.7,0.2,0,3,2
2983,1,1768,45.4,60.2,26.3,0.2,415,0,1
2983,2,1157,33.0,52.9,11.5,0.19,0,64,54
2983,3,749,25.7,41.7,11.0,0.17,0,48,24
2983,4,337,27.3,42.7,13.0,0.17,0,31,6
2983,5,96,8.3,20.8,3.1,0.19,0,2,0
2983,6,75,6.6,20.0,1.3,0.22,0,0,0
2992,1,1239,80.7,88.0,62.8,0.16,700,0,1
2992,2,935,59.5,76.4,33.5,0.16,0,155,114
2992,3,909,55.8,72.7,29.9,0.14,0,132,43
2992,4,850,43.8,64.2,21.2,0.14,0,90,31
2992,5,580,29.8,53.6,9.6,0.14,0,25,10
2992,6,305,13.4,34.1,4.5,0.15,0,3,1
2994,1,584,42.8,60.4,23.1,0.22,121,0,2
2994,2,645,27.9,47.7,10.7,0.24,0,19,40
2994,3,812,24.8,41.7,9.9,0.22,0,33,24
2994,4,649,20.9,39.2,7.4,0.23,0,11,10
2994,5,500,14.8,28.6,3.8,0.23,0,2,7
2994,6,219,5.9,15.9,2.2,0.24,0,0,1
2995,1,524,31.6,50.5,12.0,0.21,54,0,0
2995,2,593,26.9,48.4,7.0,0.24,0,14,16
2995,3,619,21.6,41.6,8.2,0.24,0,22,16
2995,4,495,20.6,41.2,7.6,0.23,0,14,5
2995,5,461,10.2,27.9,1.9,0.25,0,4,2
2995,6,376,6.6,15.1,1.0,0.25,0,0,1
3005,1,817,55.6,70.7,27.9,0.2,203,0,0
3005,2,980,42.5,62.7,19.9,0.21,0,65,95
3005,3,987,35.9,54.4,15.2,0.2,0,66,41
3005,4,806,35.2,53.6,14.5,0.19,0,57,15
